student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
971,20,Other,High School,3.98,0.91,2.35,1.9,0.74,5.92,6.61,120,23,1,1,Good,6,12.26,1.61,21.04,24.61
972,19,Other,High School,3.11,2.0,2.39,2.02,2.74,9.38,11.98,59,141,1,0,Good,4,10.37,13.97,14.02,18.75
973,19,Male,High School,5.0,0.26,1.1,4.19,1.25,7.26,5.01,150,161,0,0,Poor,8,8.89,8.27,35.32,26.61
974,18,Other,High School,6.52,1.25,1.32,5.51,1.72,6.57,1.0,111,180,1,0,Average,10,22.37,21.49,37.98,30.51
975,19,Male,High School,8.03,3.56,1.03,6.6,1.18,6.45,6.81,4,360,1,0,Good,2,26.35,14.09,33.75,34.97
976,18,Male,High School,3.46,1.01,0.0,1.07,1.47,6.48,1.73,67,0,1,1,Poor,8,13.44,0.0,20.55,30.28
977,19,Female,High School,7.58,1.49,1.95,0.64,2.85,6.93,6.03,46,52,0,0,Average,3,28.66,5.08,36.96,48.45
978,18,Female,High School,3.61,3.06,2.01,0.58,1.08,6.17,9.3,69,55,1,1,Good,4,19.28,0.0,25.65,25.66
979,24,Male,High School,1.71,1.9,0.48,3.2,1.37,6.76,1.43,99,417,1,1,Poor,6,4.86,0.0,19.67,24.69
980,22,Male,High School,6.65,2.81,3.2,5.43,1.79,5.57,10.71,61,178,0,1,Average,9,19.56,45.11,33.95,36.52
981,17,Female,High School,6.73,2.3,0.53,1.53,1.6,8.57,4.26,150,362,0,0,Good,1,35.09,0.0,41.26,31.93
982,19,Female,High School,3.47,1.89,1.01,3.41,2.08,6.73,8.68,31,0,1,1,Good,9,0.0,7.86,17.95,23.39
983,23,Other,High School,3.76,2.94,0.43,2.04,2.48,4.55,4.09,109,53,1,0,Poor,7,16.42,7.87,22.5,34.5
984,20,Male,High School,3.24,1.19,1.94,5.64,1.33,6.16,6.71,136,218,1,0,Good,9,2.79,37.77,12.0,23.44
985,17,Other,High School,0.81,0.65,0.95,1.67,2.95,5.54,9.28,114,80,0,1,Average,1,6.11,12.05,1.0,1.0
986,20,Female,High School,5.1,2.65,3.85,2.27,2.17,4.8,9.02,49,202,0,1,Poor,9,23.78,32.9,29.64,36.97
987,17,Other,High School,3.5,0.0,2.76,2.48,0.45,4.37,3.75,142,167,1,0,Poor,1,13.11,18.7,7.97,12.17
988,22,Female,High School,2.42,1.22,3.23,2.01,0.07,4.27,4.91,116,470,1,0,Average,8,13.48,15.05,17.76,26.13
989,22,Male,High School,5.29,1.54,1.18,3.92,1.43,6.43,7.43,59,0,1,0,Average,3,23.02,20.11,28.09,22.16
990,20,Female,High School,5.51,3.63,1.0,2.43,2.52,8.54,5.14,131,323,1,0,Good,3,20.08,0.7,29.42,38.06
991,21,Other,High School,6.85,3.09,1.35,1.67,2.76,9.19,7.46,33,180,1,0,Average,9,28.37,0.0,43.79,41.42
992,17,Male,High School,2.2,0.45,1.63,2.1,0.93,9.22,3.3,139,268,1,0,Good,7,7.88,0.0,22.85,16.37
993,17,Female,High School,3.93,1.66,3.14,3.27,1.5,5.61,7.38,31,453,0,0,Good,5,7.71,24.61,12.97,22.93
994,18,Female,High School,2.83,5.04,1.83,4.54,0.63,4.38,4.48,68,16,1,1,Good,6,16.29,38.35,15.83,25.45
995,16,Male,High School,2.57,3.51,1.68,2.4,1.36,6.72,5.32,85,313,1,1,Average,8,1.4,5.27,26.96,19.09
996,22,Male,High School,2.76,2.32,0.12,3.45,0.6,5.41,8.37,109,92,0,0,Good,8,8.75,21.99,15.41,24.8
997,20,Male,High School,4.41,0.79,3.42,1.32,0.93,7.93,5.01,51,446,0,0,Poor,1,9.77,9.39,20.0,27.08
998,16,Other,High School,3.39,0.29,0.0,3.99,2.4,8.59,6.1,138,119,1,0,Average,6,6.53,0.0,19.67,7.72
999,18,Female,High School,2.23,3.91,2.0,0.08,1.52,5.83,6.78,68,260,1,1,Good,3,18.13,7.01,17.14,22.62
1000,20,Other,High School,8.57,0.12,1.07,3.82,2.65,5.92,7.4,134,262,0,1,Average,1,32.02,26.99,42.96,37.69
1001,21,Female,High School,4.94,2.09,1.86,2.27,1.4,5.86,6.25,60,187,1,0,Poor,1,19.69,20.42,17.08,26.82
1002,21,Female,High School,2.79,2.17,1.88,0.65,1.97,7.15,2.72,107,334,1,0,Good,10,0.0,0.97,27.04,21.68
1003,23,Male,High School,4.26,1.15,1.51,5.05,2.21,4.8,11.01,39,42,1,1,Good,6,13.2,19.63,20.68,13.68
1004,16,Female,High School,1.78,0.86,3.17,4.1,1.94,5.29,7.16,134,223,1,0,Poor,1,6.56,24.11,1.0,6.15
1005,18,Male,High School,3.27,1.79,0.0,2.14,1.85,7.78,5.82,123,143,1,1,Poor,5,9.77,13.68,17.71,19.84
1006,17,Other,High School,2.45,0.71,1.46,5.95,1.34,6.35,6.87,93,473,0,0,Poor,10,0.0,23.68,26.76,10.94
1007,22,Female,High School,4.43,3.92,4.07,2.92,1.69,6.69,6.08,37,176,0,1,Poor,1,15.29,29.44,19.17,29.57
1008,16,Other,High School,3.22,2.39,4.42,5.22,1.88,8.32,8.54,75,320,0,1,Poor,10,2.64,44.93,8.57,19.56
1009,17,Female,High School,2.67,0.57,1.03,1.72,1.61,7.29,1.0,21,181,0,1,Good,9,8.8,0.0,22.78,16.75
1010,19,Other,High School,3.05,1.31,1.66,2.57,1.08,5.82,9.49,124,61,1,0,Average,7,4.47,21.45,18.38,22.03
1011,16,Female,High School,6.64,1.64,2.05,3.23,1.38,10.0,4.7,138,0,0,1,Good,2,27.15,21.66,29.55,31.85
1012,19,Male,High School,2.69,0.0,3.12,4.56,2.42,8.56,2.12,35,334,0,0,Good,6,0.0,5.6,20.35,5.32
1013,24,Female,High School,5.08,1.96,0.0,2.34,1.39,8.66,7.08,66,500,1,1,Average,1,19.07,0.0,28.4,35.24
1014,23,Female,High School,6.05,0.12,0.96,5.68,2.52,9.29,11.04,91,69,1,0,Poor,2,14.24,21.66,16.89,14.94
1015,17,Female,High School,4.57,3.3,0.83,2.9,0.93,8.82,7.61,73,213,1,0,Good,3,18.08,0.0,17.97,27.76
1016,19,Female,High School,5.08,2.82,2.92,0.6,1.44,6.82,11.92,150,229,1,0,Poor,4,15.57,19.86,28.08,24.89
1017,18,Other,High School,3.58,0.14,3.15,2.21,3.43,6.17,7.56,15,293,1,0,Average,1,9.19,18.63,16.82,24.8
1018,17,Male,High School,6.04,3.88,4.04,1.77,0.23,5.9,5.09,143,500,1,0,Poor,2,24.12,25.91,27.15,34.47
1019,22,Male,High School,5.16,2.58,0.76,2.93,0.63,8.31,7.72,44,337,1,1,Average,6,11.97,2.15,29.51,25.59
1020,21,Male,High School,5.03,1.44,2.32,3.25,2.06,6.52,9.28,66,282,1,1,Good,6,19.04,38.08,27.86,25.91
1021,23,Female,High School,3.46,3.04,0.48,2.29,1.95,6.81,9.48,75,374,0,1,Poor,4,9.12,8.07,26.98,21.15
1022,22,Male,High School,6.76,1.42,0.87,3.21,0.28,6.28,5.37,41,409,0,1,Average,5,24.44,0.0,35.84,32.93
1023,19,Female,High School,5.25,2.54,3.56,1.83,0.44,6.62,8.15,85,157,1,1,Good,4,19.47,0.62,21.2,35.27
1024,18,Male,High School,7.0,3.09,1.34,4.28,2.52,6.95,6.58,131,237,1,0,Good,3,15.3,0.0,30.74,31.86
1025,19,Other,High School,5.08,1.45,3.11,3.15,0.95,7.74,9.31,11,296,0,0,Poor,1,14.01,14.93,21.08,25.3
1026,20,Female,High School,2.67,2.83,2.37,1.5,1.16,6.69,9.67,79,72,1,0,Poor,4,7.07,25.25,13.63,13.35
1027,18,Male,High School,5.94,2.45,0.95,2.95,3.68,7.12,2.95,139,25,1,0,Poor,3,17.91,0.0,28.52,29.59
1028,17,Other,High School,5.0,1.51,2.73,1.46,0.0,6.1,10.54,94,0,1,1,Average,6,12.37,19.01,32.3,39.36
1029,23,Male,High School,4.97,0.44,1.28,4.23,1.52,5.32,5.55,0,204,0,1,Poor,6,22.04,9.57,27.98,21.12
1030,20,Male,High School,2.11,1.64,0.98,2.16,1.85,7.97,8.19,34,115,0,1,Poor,1,3.76,1.6,6.21,9.34
1031,20,Male,High School,6.31,2.15,0.18,2.19,4.7,5.36,4.59,95,124,0,1,Poor,2,22.87,11.6,26.78,25.14
1032,20,Female,High School,6.17,3.43,2.13,3.61,1.31,5.04,4.92,129,391,0,0,Good,5,28.52,15.2,34.3,34.36
1033,22,Male,High School,2.59,3.75,1.89,2.13,1.76,6.64,4.93,78,43,1,1,Poor,10,6.36,0.0,16.35,22.58
1034,21,Female,High School,8.04,1.31,2.23,2.05,1.29,6.93,8.11,150,362,0,0,Good,5,30.62,6.02,50.78,40.83
1035,20,Female,High School,5.07,1.49,2.07,4.1,1.98,9.09,5.85,30,225,1,0,Average,8,8.01,0.0,31.62,21.27
1036,19,Male,High School,1.84,2.64,1.83,1.69,2.31,6.35,5.21,66,280,0,0,Good,5,10.85,0.77,18.16,10.61
1037,25,Other,High School,4.63,3.43,1.65,3.15,1.66,6.78,9.4,77,500,0,1,Good,10,13.94,24.55,35.16,29.2
1038,19,Female,High School,7.0,3.69,3.79,3.99,0.4,8.56,2.58,78,75,0,1,Good,4,27.62,28.9,39.33,39.35
1039,19,Male,High School,2.31,2.13,1.66,2.45,1.15,8.64,9.0,91,307,1,0,Good,3,1.94,8.56,19.08,22.05
1040,21,Female,High School,6.37,3.48,0.89,2.85,0.68,9.64,1.43,148,272,0,0,Poor,6,31.5,0.0,31.75,44.95
1041,25,Male,High School,4.36,1.4,0.62,3.58,0.11,6.48,14.0,103,227,0,0,Average,2,11.87,3.32,20.12,15.07
1042,19,Female,High School,4.69,2.03,1.01,1.09,2.21,6.45,4.88,150,44,1,0,Poor,3,5.25,0.0,23.23,24.37
1043,21,Female,High School,4.94,0.89,2.44,4.65,1.25,7.95,5.34,107,261,0,0,Average,3,10.66,20.79,23.66,19.97
1044,17,Other,High School,1.71,1.28,0.61,0.29,1.2,9.26,6.49,17,392,0,1,Average,3,3.13,0.0,12.87,8.62
1045,22,Other,High School,4.95,2.35,2.63,5.42,3.78,7.16,6.89,112,277,1,0,Good,6,7.27,29.55,19.42,20.05
1046,18,Male,High School,5.16,2.01,2.36,3.52,2.42,7.68,1.78,102,234,0,0,Average,2,18.14,0.0,26.35,25.21
1047,20,Other,High School,2.79,2.33,1.14,1.23,1.46,5.32,11.58,32,0,1,1,Average,2,7.51,12.62,9.23,16.39
1048,19,Male,High School,5.16,2.99,2.82,1.57,1.9,7.31,5.75,132,421,1,1,Average,5,15.45,30.1,31.08,30.23
1049,21,Female,High School,4.61,1.4,1.12,3.25,0.95,5.66,4.52,81,500,1,0,Average,10,19.3,17.92,31.48,31.41
1050,16,Other,High School,0.23,2.05,1.46,1.31,2.06,6.27,5.53,142,300,1,0,Poor,8,5.04,3.5,12.99,9.21
1051,17,Male,High School,3.83,1.83,2.06,1.97,1.7,8.69,7.26,150,69,0,1,Good,5,5.5,0.0,11.03,25.86
1052,20,Male,High School,5.78,1.54,2.16,3.25,0.6,6.58,9.89,65,365,0,1,Poor,1,25.19,17.27,30.08,41.41
1053,21,Male,High School,5.96,2.76,1.55,4.06,2.72,6.46,10.97,124,98,0,0,Poor,2,7.08,19.6,20.65,33.03
1054,20,Other,High School,4.33,3.16,0.71,4.25,3.15,6.13,3.81,59,50,1,0,Poor,10,11.25,3.7,33.69,22.39
1055,19,Male,High School,4.27,3.27,1.26,4.47,0.64,5.07,2.36,110,500,1,0,Poor,3,17.38,0.0,21.36,17.1
1056,18,Female,High School,5.97,1.63,0.98,4.16,2.19,4.54,2.83,88,0,0,0,Good,9,0.0,17.08,32.12,32.95
1057,17,Other,High School,6.75,2.54,3.09,7.05,3.24,6.89,9.97,125,70,0,1,Average,7,14.36,35.29,38.64,41.66
1058,22,Other,High School,2.76,1.2,2.26,5.74,1.36,6.83,8.02,89,308,0,0,Average,1,4.3,17.26,1.84,6.95
1059,16,Female,High School,4.96,2.46,2.56,0.9,2.12,9.01,3.23,87,318,1,1,Good,1,13.76,0.0,18.95,19.71
1060,23,Female,High School,5.36,1.92,1.89,2.32,1.42,6.87,7.76,73,187,0,1,Good,2,18.29,5.2,26.98,23.54
1061,18,Other,High School,5.54,1.62,3.97,3.43,1.19,7.67,6.3,81,321,0,1,Good,5,14.93,17.43,22.67,23.73
1062,22,Female,High School,4.73,1.98,0.57,1.1,1.04,5.76,7.85,18,0,0,0,Average,5,15.34,0.0,32.87,25.27
1063,19,Other,High School,2.44,0.86,1.96,1.95,0.33,7.31,7.2,119,221,1,1,Poor,4,1.25,0.0,12.3,9.71
1064,16,Female,High School,3.92,2.84,4.13,1.72,1.92,5.59,9.75,130,267,1,0,Poor,5,16.15,26.94,28.74,22.54
1065,20,Male,High School,1.69,3.24,2.11,2.05,0.02,5.95,2.05,135,281,0,1,Good,10,9.88,0.0,26.5,26.47
1066,16,Female,High School,4.86,3.32,2.88,2.19,2.8,6.88,2.67,34,0,1,1,Average,2,19.05,19.12,24.74,27.45
1067,17,Male,High School,3.58,2.78,3.42,2.72,0.49,5.73,9.85,121,469,1,1,Average,3,15.25,28.4,12.97,21.37
1068,21,Female,High School,3.47,1.22,0.0,4.24,1.36,8.18,7.66,98,0,0,1,Poor,4,10.43,7.99,13.82,14.43
1069,16,Male,High School,3.31,1.56,1.17,3.51,1.02,8.5,4.43,150,422,0,1,Poor,8,11.72,0.0,28.88,22.76
1070,22,Male,High School,5.83,2.59,2.8,3.33,2.04,6.81,5.28,110,429,0,1,Poor,8,23.65,8.37,35.04,36.96
1071,17,Female,High School,3.17,3.28,2.7,1.81,1.65,6.41,5.45,79,144,0,0,Good,8,9.19,6.38,21.97,19.32
1072,21,Male,High School,4.52,3.33,2.35,3.63,0.61,4.25,5.16,46,161,1,0,Poor,10,3.83,24.31,28.67,22.54
1073,18,Male,High School,2.21,0.67,1.43,0.43,1.7,7.13,3.9,40,332,1,1,Poor,3,6.6,0.0,8.88,11.27
1074,23,Female,High School,3.59,1.01,0.0,2.96,0.0,8.29,7.74,150,101,1,1,Average,10,4.71,0.0,31.04,14.93
1075,19,Female,High School,2.93,2.15,1.97,3.29,2.13,5.96,10.4,88,233,1,0,Average,7,5.43,30.27,12.44,18.86
1076,18,Female,High School,6.49,0.0,1.21,5.91,0.94,7.5,8.34,22,248,1,0,Average,4,17.29,25.22,32.99,35.29
1077,22,Male,High School,6.22,2.21,2.95,3.82,1.99,7.95,7.92,22,346,1,1,Poor,2,21.28,17.73,28.59,33.78
1078,18,Other,High School,4.79,0.92,1.83,0.62,1.37,6.25,1.1,72,202,1,0,Poor,9,12.2,0.4,34.2,36.53
1079,17,Male,High School,3.08,3.94,0.67,4.24,0.89,6.32,5.89,100,0,0,1,Good,10,8.16,3.8,27.07,25.99
1080,22,Other,High School,0.27,3.26,1.81,1.31,2.19,7.79,5.23,77,92,1,1,Average,8,15.54,11.02,14.81,15.82
1081,22,Male,High School,9.12,0.49,3.78,3.54,0.48,9.02,5.34,32,192,1,1,Average,4,35.26,3.1,40.88,34.57
1082,20,Male,High School,5.93,3.73,1.69,3.65,2.18,6.08,10.24,141,67,0,0,Average,4,20.12,20.06,23.9,36.97
1083,22,Male,High School,2.17,2.6,2.49,3.59,1.51,6.07,5.97,42,116,0,0,Poor,10,8.32,17.08,15.32,21.75
1084,20,Female,High School,4.53,0.99,2.29,3.4,0.69,7.56,6.48,94,211,0,1,Good,1,15.97,5.23,19.89,18.2
1085,23,Other,High School,4.9,0.72,1.53,2.07,0.78,7.37,7.23,131,212,0,1,Poor,3,12.88,0.06,20.99,15.41
1086,17,Other,High School,4.04,0.05,0.0,4.23,1.6,6.02,4.52,63,250,0,0,Average,2,12.23,18.06,16.51,4.38
1087,21,Male,High School,7.49,2.03,1.56,3.42,2.79,5.55,2.71,58,73,1,1,Average,5,23.72,9.63,30.69,38.59
1088,21,Other,High School,6.05,0.27,5.0,4.05,1.79,5.86,9.24,74,285,0,1,Poor,3,5.11,60.47,27.14,22.92
1089,21,Male,High School,2.78,1.46,1.19,3.83,3.52,9.47,9.86,102,230,0,1,Average,3,10.05,18.65,18.36,17.14
1090,17,Male,High School,9.11,1.12,2.38,2.87,2.31,6.48,4.49,44,242,1,0,Average,7,16.63,15.92,54.28,53.53
1091,19,Male,High School,3.47,3.98,1.27,2.53,0.0,4.0,4.81,75,336,1,0,Average,7,22.13,0.0,23.24,25.06
1092,21,Male,High School,5.13,1.29,1.33,0.73,0.42,6.57,6.47,72,196,1,1,Good,2,11.99,2.96,36.17,26.64
1093,21,Female,High School,4.79,0.82,1.17,1.41,1.92,9.36,7.6,42,359,1,1,Poor,1,16.47,0.0,18.52,18.3
1094,20,Female,High School,5.29,2.17,1.14,2.57,2.1,5.63,2.43,19,232,0,0,Poor,7,16.11,0.0,27.15,41.93
1095,17,Female,High School,5.74,2.03,1.79,3.78,2.19,7.0,3.59,143,193,0,0,Poor,5,21.7,3.96,24.9,25.01
1096,24,Other,High School,1.31,1.67,1.4,4.24,1.35,6.97,5.67,147,0,1,1,Good,10,0.0,23.27,14.47,13.76
1097,17,Female,High School,4.63,0.56,1.13,2.36,2.36,5.67,2.57,29,24,1,1,Poor,9,12.27,5.37,27.51,28.59
1098,22,Male,High School,5.39,2.88,3.7,0.18,0.0,7.2,4.54,0,399,0,0,Average,5,22.02,2.66,41.19,46.46
1099,22,Other,High School,3.93,4.77,2.6,0.49,0.95,5.75,4.98,124,27,0,0,Poor,9,12.88,17.64,35.0,22.58
1100,19,Male,High School,4.23,2.31,2.39,4.29,0.91,6.49,7.49,98,269,1,0,Good,5,11.13,17.17,24.89,22.31
1101,21,Female,High School,4.52,1.98,2.12,3.51,1.23,8.39,1.01,25,332,0,0,Good,10,8.14,0.0,31.74,32.92
1102,17,Other,High School,4.17,3.57,2.88,1.3,1.76,7.7,9.25,118,0,1,1,Average,5,21.34,11.28,17.63,33.47
1103,20,Female,High School,3.45,3.0,3.65,4.81,2.18,7.82,5.26,139,0,0,1,Poor,9,12.77,24.99,21.94,20.89
1104,22,Male,High School,4.66,2.89,0.0,5.78,2.6,6.94,4.38,110,194,1,0,Good,3,10.88,23.25,15.48,18.84
1105,20,Other,High School,7.07,0.76,1.87,3.17,2.77,5.03,10.14,117,238,1,0,Good,5,18.53,25.88,32.13,46.76
1106,23,Female,High School,1.22,1.97,1.72,2.9,3.49,7.09,8.92,130,224,0,0,Average,4,0.16,6.73,8.11,7.79
1107,17,Other,High School,5.69,2.09,1.85,1.01,2.02,7.72,3.69,68,0,0,1,Good,6,24.18,0.0,32.78,40.31
1108,23,Other,High School,6.05,1.4,1.35,0.43,2.07,8.35,4.89,150,128,0,1,Poor,8,19.24,0.0,46.48,41.0
1109,21,Female,High School,3.16,0.75,3.91,2.93,0.94,6.23,13.85,112,109,0,1,Good,8,7.09,35.39,24.0,20.3
1110,23,Female,High School,6.08,2.42,1.56,3.49,2.07,6.33,5.68,40,115,1,0,Good,9,21.72,18.76,35.49,34.21
1111,17,Female,High School,4.18,0.74,1.64,3.6,1.97,7.63,5.25,83,109,0,0,Good,1,6.14,2.2,11.0,13.44
1112,19,Other,High School,7.68,2.26,1.0,6.29,2.43,6.15,9.77,150,0,0,1,Good,4,25.04,46.61,23.14,24.28
1113,16,Other,High School,4.99,0.0,1.73,3.21,1.96,7.84,4.87,31,341,1,1,Good,1,7.01,11.29,17.92,15.33
1114,17,Other,High School,7.02,0.82,0.12,1.93,1.39,6.94,5.01,108,104,1,0,Poor,4,15.29,8.89,39.03,38.32
1115,23,Female,High School,5.42,3.64,2.76,1.66,0.81,9.65,10.01,143,0,0,1,Poor,9,23.43,8.71,32.28,33.07
1116,20,Male,High School,6.73,1.17,2.16,2.09,2.3,7.39,3.56,48,0,1,0,Good,6,28.69,6.35,43.88,39.37
1117,16,Other,High School,6.56,2.94,3.7,3.28,1.22,6.74,9.46,66,109,1,0,Poor,3,25.56,9.7,37.12,29.81
1118,19,Female,High School,2.56,2.34,1.46,4.51,2.1,6.29,8.81,98,294,0,0,Good,9,4.19,31.78,13.78,25.7
1119,17,Female,High School,2.64,1.26,3.73,3.82,2.56,7.44,5.97,0,146,0,0,Poor,4,9.57,28.49,13.49,13.16
1120,20,Female,High School,5.71,0.79,2.67,0.99,0.0,5.51,2.07,0,60,0,0,Poor,7,15.3,0.0,42.18,49.36
1121,19,Other,High School,6.04,2.33,1.26,3.4,1.14,7.56,6.38,76,259,1,1,Poor,5,24.48,4.88,30.23,24.57
1122,18,Male,High School,6.56,2.86,1.22,2.9,0.36,9.78,4.82,59,267,0,1,Good,8,20.94,0.0,29.42,46.21
1123,17,Other,High School,3.83,0.48,2.79,2.6,2.69,7.04,4.5,140,415,0,0,Good,7,8.08,14.22,25.14,24.21
1124,18,Male,High School,2.59,1.98,3.17,4.03,1.32,6.44,6.04,147,71,0,0,Average,1,6.17,31.29,7.3,13.35
1125,17,Female,High School,6.96,2.09,2.44,1.64,1.66,7.83,12.02,81,63,1,0,Average,5,30.13,0.61,43.74,43.15
1126,17,Other,High School,4.27,2.34,2.08,5.3,2.29,4.8,1.0,150,158,0,0,Average,7,26.96,18.02,21.56,26.83
1127,19,Other,High School,5.08,1.43,1.2,3.16,1.87,7.61,10.54,107,225,1,1,Average,10,6.23,20.86,25.53,20.2
1128,22,Female,High School,4.73,0.9,1.88,2.76,0.36,6.62,3.48,45,359,1,1,Average,7,6.14,10.3,24.31,40.16
1129,17,Male,High School,2.57,1.91,2.65,5.32,0.1,6.78,6.47,119,415,0,1,Good,7,6.23,22.42,3.84,13.38
1130,16,Other,High School,4.14,2.43,2.94,4.23,1.8,7.79,6.08,29,66,1,1,Good,7,10.3,29.69,19.54,23.26
1131,21,Male,High School,4.78,5.12,0.21,0.61,2.16,4.66,5.54,70,276,1,1,Good,9,16.49,15.3,42.16,44.22
1132,21,Male,High School,6.7,3.98,2.05,0.0,2.44,7.87,3.78,86,289,0,0,Good,6,20.76,0.0,33.79,43.13
1133,22,Other,High School,1.57,1.33,3.13,1.04,3.85,6.48,10.01,97,293,0,0,Average,8,4.11,22.91,1.45,17.5
1134,21,Male,High School,6.89,0.51,0.45,3.7,0.0,8.53,10.44,35,214,0,0,Average,4,15.52,0.45,30.19,36.52
1135,16,Other,High School,4.39,2.27,2.23,5.3,1.32,5.46,9.53,48,356,0,1,Good,7,19.21,31.3,20.48,23.9
1136,17,Other,High School,6.25,1.92,3.01,3.91,2.96,5.94,7.79,49,297,1,0,Good,2,14.46,32.99,13.63,30.26
1137,17,Female,High School,5.06,1.71,2.87,1.78,1.73,6.78,4.63,78,155,0,1,Good,4,21.01,3.78,25.54,25.69
1138,16,Female,High School,5.71,2.22,1.5,2.78,1.57,8.23,10.92,53,178,1,1,Average,8,9.06,3.76,36.74,35.17
1139,22,Other,High School,7.77,2.03,3.31,2.8,1.26,5.81,10.2,150,188,1,0,Average,6,30.76,30.98,44.47,41.24
1140,22,Other,High School,3.95,0.69,0.85,4.36,1.67,8.6,5.41,136,397,1,1,Average,4,6.37,0.0,29.43,32.23
1141,19,Female,High School,3.61,1.95,2.39,4.83,2.55,7.93,8.9,135,235,0,0,Good,7,0.0,36.94,19.55,23.84
1142,19,Other,High School,7.52,4.42,1.93,1.7,1.31,5.99,7.46,77,258,1,0,Good,7,29.86,9.65,45.43,44.19
1143,17,Other,High School,2.06,2.51,1.54,2.72,1.89,8.35,6.12,30,206,1,1,Average,6,2.11,15.41,13.19,5.6
1144,18,Female,High School,5.6,2.89,1.42,3.07,2.63,5.79,3.03,111,178,1,1,Good,8,15.62,17.14,31.19,36.38
1145,20,Female,High School,2.56,1.73,1.53,2.0,3.92,9.35,1.0,49,147,1,1,Good,6,6.03,0.0,18.79,16.63
1146,18,Male,High School,5.15,0.87,0.3,4.85,2.28,7.95,4.41,141,195,1,1,Poor,3,11.04,2.29,23.99,29.32
1147,21,Male,High School,1.09,1.44,4.27,2.43,2.82,5.58,11.76,123,273,1,0,Poor,1,4.4,35.18,11.97,1.0
1148,17,Other,High School,3.81,2.03,2.54,3.83,0.0,6.08,7.26,115,146,0,0,Good,2,5.73,30.31,12.67,13.8
1149,17,Other,High School,4.63,2.61,3.2,2.52,0.73,6.36,10.33,114,0,0,0,Average,6,19.62,33.42,18.61,32.84
1150,21,Other,High School,3.98,3.35,0.69,2.71,1.51,8.32,4.47,51,22,1,1,Good,10,8.77,0.0,31.38,28.03
1151,21,Female,High School,6.93,3.08,3.01,4.5,0.98,7.25,9.11,120,221,0,1,Good,1,21.32,31.3,32.16,31.39
1152,16,Other,High School,6.61,1.26,3.44,1.68,1.5,7.99,6.23,82,165,1,1,Good,8,27.67,0.0,39.53,35.42
1153,22,Other,High School,3.52,2.65,0.0,0.72,3.13,7.36,2.7,45,354,1,1,Average,4,6.01,0.0,18.56,23.29
1154,20,Female,High School,2.67,2.53,2.21,3.77,2.57,6.2,8.17,67,166,0,1,Good,1,3.91,23.77,8.7,18.67
1155,20,Female,High School,5.33,2.25,1.87,3.91,2.85,6.84,7.24,132,107,0,1,Average,2,11.21,16.01,17.97,31.38
1156,18,Other,High School,5.79,1.24,2.49,2.69,0.01,6.99,5.49,26,480,0,0,Average,7,25.9,6.59,38.53,29.08
1157,16,Female,High School,4.33,2.49,0.0,4.18,0.6,7.2,4.95,150,316,1,1,Good,4,9.94,5.58,16.3,19.83
1158,16,Male,High School,0.0,1.36,2.72,3.66,3.72,6.62,7.2,89,325,0,1,Good,1,1.01,32.46,1.0,1.0
1159,19,Other,High School,7.18,3.64,1.69,1.69,1.62,5.54,1.55,51,100,1,0,Average,9,25.92,0.0,43.95,55.22
1160,22,Other,High School,7.88,1.81,2.37,3.36,0.83,6.68,2.99,110,46,0,1,Good,1,26.72,0.0,29.09,38.78
1161,17,Male,High School,2.39,2.05,2.41,5.47,0.08,6.32,11.1,63,180,1,1,Good,9,6.36,13.63,27.55,20.49
1162,17,Female,High School,3.86,0.35,2.66,3.26,2.64,7.58,2.61,45,500,0,1,Average,7,16.06,11.88,29.1,37.82
1163,19,Female,High School,6.14,2.68,2.29,1.77,2.36,7.64,6.99,97,192,0,0,Poor,6,28.59,0.0,40.19,37.93
1164,18,Male,High School,3.89,1.11,1.8,5.06,0.0,8.13,4.7,109,350,0,0,Good,6,14.16,0.0,21.34,9.02
1165,22,Other,High School,3.3,1.58,3.11,3.61,1.06,6.54,6.29,65,121,0,0,Average,9,15.17,21.42,26.77,32.03
1166,16,Other,High School,6.29,0.93,0.09,1.98,1.32,5.51,4.73,150,459,1,1,Poor,3,27.8,0.67,25.99,28.29
1167,17,Other,High School,5.18,1.94,2.29,1.58,2.49,7.82,9.85,136,222,0,0,Poor,6,16.39,19.09,35.95,32.78
1168,20,Male,High School,4.09,2.19,2.91,1.89,0.0,8.93,3.0,150,129,1,0,Average,5,15.03,0.0,22.1,31.5
1169,17,Male,High School,7.58,2.87,1.87,2.88,1.8,7.94,8.26,51,369,1,1,Good,3,21.81,15.8,37.44,33.45
1170,24,Female,High School,3.54,0.66,0.0,3.97,1.16,6.22,9.47,133,119,1,0,Poor,3,15.97,10.14,15.42,17.92
1171,23,Male,High School,8.64,1.43,2.2,2.72,2.6,6.77,9.35,150,184,0,0,Poor,9,31.07,5.13,59.05,44.53
1172,19,Female,High School,2.5,1.18,1.91,4.8,3.06,5.61,9.57,78,0,0,0,Average,7,11.11,43.13,11.28,20.29
1173,23,Other,High School,4.59,2.62,1.28,1.69,2.0,9.64,11.22,27,114,1,0,Average,2,15.67,7.64,26.54,23.13
